Stock,Species,Common name,Family,Order,WG,Model,Years,Gen,Area
ank.27.78abd,Lophius budegassa,Black-bellied anglerfish,Lophiidae,Lophiiformes,WGBIE,SS3,1986-2020,10,Irish Sea
aru.27.5a14,Argentina silus,Greater silver smelt,Argentinidae,Argentiniformes,WGDEEP,Gadget,1990-2019,10,Greenland grounds
aru.27.5b6a,Argentina silus,Greater silver smelt,Argentinidae,Argentiniformes,WGDEEP,SAM,1995-2020,10,Faroes grounds
bss.27.4bc7ad-h,Dicentrarchus labrax,Sea bass,Moronidae,Perciformes,WGCSE,SS3,1985-2020,10,North Sea
bss.27.8ab,Dicentrarchus labrax,Sea bass,Moronidae,Perciformes,WGBIE,SS3,1985-2020,10,Bay of Biscay
cod.21.1,Gadus morhua,Cod,Gadidae,Gadiformes,NWWG,SAM,1976-2020,9,Greenland grounds
cod.2127.1f14,Gadus morhua,Cod,Gadidae,Gadiformes,NWWG,SAM,1973-2020,9,Greenland grounds
cod.27.1-2,Gadus morhua,Cod,Gadidae,Gadiformes,AFWG,SAM,1946-2020,9,Northeast Arctic
cod.27.1-2coastN,Gadus morhua,Cod,Gadidae,Gadiformes,AFWG,SAM,1994-2020,9,Norwegian Sea
cod.27.22-24,Gadus morhua,Cod,Gadidae,Gadiformes,WGBFAS,SAM,1985-2020,9,Baltic Sea
cod.27.24-32,Gadus morhua,Cod,Gadidae,Gadiformes,WGBFAS,SS3,1946-2020,9,Baltic Sea
cod.27.47d20,Gadus morhua,Cod,Gadidae,Gadiformes,WGNSSK,SAM,1963-2020,9,North Sea
cod.27.5a,Gadus morhua,Cod,Gadidae,Gadiformes,NWWG,SCAA,1955-2020,9,Greenland grounds
cod.27.5b1,Gadus morhua,Cod,Gadidae,Gadiformes,NWWG,SAM,1959-2019,9,Faroes grounds
cod.27.6a,Gadus morhua,Cod,Gadidae,Gadiformes,WGCSE,SAM,1981-2020,9,West of Scotland
cod.27.7a,Gadus morhua,Cod,Gadidae,Gadiformes,WGCSE,SS3,1968-2021,9,Irish Sea
cod.27.7e-k,Gadus morhua,Cod,Gadidae,Gadiformes,WGCSE,SAM,1980-2020,9,Celtic Seas
