Stock,Species,FishStock,Year,Landings,Catches,Discards,IBC,BMS,Recreational,Total,Check,,,
Arctic cod,Cod,cod.27.1-2,1903,761187,761187,,,,,761187,0,,,
Arctic cod,Cod,cod.27.1-2,1904,778765,778765,,,,,778765,0,,,
Arctic cod,Cod,cod.27.1-2,1905,641968,641968,,,,,641968,0,,,
Arctic cod,Cod,cod.27.1-2,1906,707662,707662,,,,,707662,0,,,
Arctic cod,Cod,cod.27.1-2,1907,705204,705204,,,,,705204,0,,,
Arctic cod,Cod,cod.27.1-2,1908,647077,647077,,,,,647077,0,,,
Arctic cod,Cod,cod.27.1-2,1909,718086,718086,,,,,718086,0,,,
Arctic cod,Cod,cod.27.1-2,1910,615537,615537,,,,,615537,0,,,
Arctic cod,Cod,cod.27.1-2,1911,1251888,1251888,,,,,1251888,0,,,
Arctic cod,Cod,cod.27.1-2,1912,1818849,1818849,,,,,1818849,0,,,
Arctic cod,Cod,cod.27.1-2,1913,1365788,1365788,,,,,1365788,0,,,
Arctic cod,Cod,cod.27.1-2,1914,1399371,1399371,,,,,1399371,0,,,
Arctic cod,Cod,cod.27.1-2,1915,1127225,1127225,,,,,1127225,0,,,
Arctic cod,Cod,cod.27.1-2,1916,891944,891944,,,,,891944,0,,,
Arctic cod,Cod,cod.27.1-2,1917,586484,586484,,,,,586484,0,,,
Arctic cod,Cod,cod.27.1-2,1918,500036,500036,,,,,500036,0,,,
Arctic cod,Cod,cod.27.1-2,1919,561256,561256,,,,,561256,0,,,
Arctic cod,Cod,cod.27.1-2,1920,617008,617008,,,,,617008,0,,,
Arctic cod,Cod,cod.27.1-2,1921,689532,689532,,,,,689532,0,,,
Arctic cod,Cod,cod.27.1-2,1922,809896,809896,,,,,809896,0,,,
Arctic cod,Cod,cod.27.1-2,1923,1020644,1020644,,,,,1020644,0,,,
Arctic cod,Cod,cod.27.1-2,1924,1383679,1383679,,,,,1383679,0,,,
Arctic cod,Cod,cod.27.1-2,1925,1093461,1093461,,,,,1093461,0,,,
Arctic cod,Cod,cod.27.1-2,1926,1758601,1758601,,,,,1758601,0,,,
Arctic cod,Cod,cod.27.1-2,1927,1438839,1438839,,,,,1438839,0,,,
Arctic cod,Cod,cod.27.1-2,1928,1382589,1382589,,,,,1382589,0,,,
Arctic cod,Cod,cod.27.1-2,1929,1471491,1471491,,,,,1471491,0,,,
Arctic cod,Cod,cod.27.1-2,1930,1526464,1526464,,,,,1526464,0,,,
Arctic cod,Cod,cod.27.1-2,1931,1048711,1048711,,,,,1048711,0,,,
Arctic cod,Cod,cod.27.1-2,1932,1239293,1239293,,,,,1239293,0,,,
Arctic cod,Cod,cod.27.1-2,1933,1049399,1049399,,,,,1049399,0,,,
Arctic cod,Cod,cod.27.1-2,1934,1152936,1152936,,,,,1152936,0,,,
Arctic cod,Cod,cod.27.1-2,1935,1213926,1213926,,,,,1213926,0,,,
Arctic cod,Cod,cod.27.1-2,1936,1604061,1604061,,,,,1604061,0,,,
Arctic cod,Cod,cod.27.1-2,1937,1977430,1977430,,,,,1977430,0,,,
Arctic cod,Cod,cod.27.1-2,1938,2004128,2004128,,,,,2004128,0,,,
Arctic cod,Cod,cod.27.1-2,1939,1602281,1602281,,,,,1602281,0,,,
Arctic cod,Cod,cod.27.1-2,1940,1046021,1046021,,,,,1046021,0,,,
Arctic cod,Cod,cod.27.1-2,1941,941066,941066,,,,,941066,0,,,
Arctic cod,Cod,cod.27.1-2,1942,859357,859357,,,,,859357,0,,,
Arctic cod,Cod,cod.27.1-2,1943,687913,687913,,,,,687913,0,,,
Arctic cod,Cod,cod.27.1-2,1944,866534,866534,,,,,866534,0,,,
Arctic cod,Cod,cod.27.1-2,1945,759485,759485,,,,,759485,0,,,
Arctic cod,Cod,cod.27.1-2,1946,706000,706000,,,,,706000,0,,,
Arctic cod,Cod,cod.27.1-2,1947,882017,882017,,,,,882017,0,,,
Arctic cod,Cod,cod.27.1-2,1948,774295,774295,,,,,774295,0,,,
Arctic cod,Cod,cod.27.1-2,1949,800122,800122,,,,,800122,0,,,
Arctic cod,Cod,cod.27.1-2,1950,731982,731982,,,,,731982,0,,,
Arctic cod,Cod,cod.27.1-2,1951,827180,827180,,,,,827180,0,,,
